faixa,municipios,alunos,previsto,observado,desvio
1,83,18840,0.3630871289988707,0.35193778621028915,0.01114934278858154
2,83,45109,0.4633541799223176,0.4888128327702099,-0.025458652847892338
3,83,25028,0.5292907207279943,0.5333457257976199,-0.004055005069625528
4,82,38473,0.5673667772627684,0.582908301962198,-0.015541524699429599
5,83,25238,0.6024643673849674,0.6185010275669858,-0.016036660182018325
6,83,22946,0.6479263602588808,0.6554416434260758,-0.007515283167194964
7,82,17349,0.6960967212293271,0.6886903062175123,0.007406415011814826
8,83,17872,0.7413819707428376,0.7416229861908864,-0.00024101544804877584
9,83,15211,0.7851569747026448,0.7777273356924828,0.007429639010162026
10,83,17680,0.8643309483663817,0.8727935182925564,-0.008462569926174668
