feature,mean_abs_shap,importance,rank_shap,rank_nativa,deslocamento
media_portugues_municipio_2023,0.021469632661829798,0.15777786999444723,1.0,1.0,0.0
sigla_uf,0.017062693517481596,0.06277232238752237,2.0,8.0,6.0
idhm_educacao,0.016568712761684562,0.07004193086021182,3.0,7.0,4.0
meta_alfabetizacao_municipio_2024,0.012212581361169624,0.10973993358823646,4.0,5.0,1.0
taxa_alfabetizacao_municipio_2023,0.01196933651313711,0.11546614099670732,5.0,4.0,-1.0
pct_alfabetizados_municipio_2023,0.011964304380314305,0.12353896033849371,6.0,3.0,-3.0
proficiencia_media_ponderada_2023,0.010751126440067614,0.12628419190048237,7.0,2.0,-5.0
gap_para_meta_municipio_2024,0.009611850274695619,0.08920284406472728,8.0,6.0,-2.0
percentual_participacao_municipio_2023,0.007046684694065729,0.0288895152083579,9.0,9.0,0.0
atingiu_meta_municipio_2024,0.005842277767043531,0.02199419655537772,10.0,12.0,2.0
idhm_longevidade,0.005237992767012066,0.02867798226664493,11.0,10.0,-1.0
idhm,0.005017568178439813,0.025618751074328858,12.0,11.0,-1.0
idhm_renda,0.004305239808560779,0.0206104667117365,13.0,13.0,0.0
total_alunos_municipio_2023,0.0029398162450159585,0.013568301136843541,14.0,14.0,0.0
rede,0.001935909324483892,0.005520522445856142,15.0,15.0,0.0
gold_historico_disponivel,0.0004005623849004878,0.0002960704700257144,16.0,16.0,0.0
